"F_Id","F_UserId","F_UserName","F_Category","F_Type","F_Level","F_IPAddress","F_IPAddressName","F_RequestURL","F_RequestMethod","F_RequestDuration","F_Abstracts","F_Json","F_PlatForm","F_CreatorTime","F_ModuleId","F_ModuleName","F_ObjectId"
"bcb8969130044f19b8c92e0c554a19fd","admin","管理员/admin","5",,,"192.168.0.81",,"/api/Permission/Role/Selector","GET","3",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 07:48:49",,,
"bcc279300e5f41d58e83d8c162614371","admin","管理员/admin","5",,,"192.168.0.81",,"/api/VisualDevelopment/Model/b9af594a0a3f43be9fa553e8ca4f347e/4aa201d58e04450cae0267a9b96e3439/DataChange","GET","27",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 07:13:17",,,
"bcc3dcfd04884737a1ef65d950de9e93","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.81",,"/api/Home/Email","GET","2",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 09:00:48",,,
"bce204903406485bbb46004a96cf6170","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowTask/a972d661d8ec4bf7b8e23fdfc92c29b3","GET","30",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:04:12",,,
"bcea2576c29a49a5ad9a4ae091249538","admin","管理员/admin","5",,,"192.168.0.81",,"/api/WorkFlow/FlowEngine","GET","7",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 09:22:45",,,
"bd31553c586748e7aa3452d809ffa0bf","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowEngine","GET","9",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 08:23:30",,,
"bd6a4c430c924eee900fc61a6cecbebf","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowBefore/2c76c30aef0e4d7b949d950cad1a3748","GET","9",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 07:32:59",,,
"bd7ef5525fb84d239fd8b4aafe5ccf52","03d159a3-0f88-424c-a24f-02f63855fe4f","薄凡白/101002","5",,,"192.168.0.162",,"/api/WorkFlow/FlowMonitor","GET","24",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.182 Safari/537.36","23/3/2021 06:29:59",,,
"bd889ebc82684af4abecd9b67e56fba2","admin","管理员/admin","5",,,"192.168.0.81",,"/api/PlatForm/Database/0/Tables","GET","14",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 08:26:33",,,
"bda92cf2e57249babbb2a9d51cb5fc65","admin","管理员/admin","5",,,"192.168.0.81",,"/api/WorkFlow/FlowEngine/ca5d19a2610242e8a3d155fd9e397f05","DELETE","5",,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36","23/3/2021 09:03:33",,,
