"F_Id","F_EnCode","F_FullName","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_LanguageTypeId","F_Language","F_SignKey"
"ae7e2e737ae9471fa878ddeebcc4c39d","ab431de504664ff095f649313144fcdf","关闭所有",,"181225144411227",,"17/8/2020 01:26:51","14601962-ddc6-4e00-9524-8c332753ee96",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.tabs-closeAll"
"afccbc8a471346119ce373b662077e6c","38d0a5071caf4fac94a5efa0cb9e011f","登  入",,"181224175532847",,"17/8/2020 01:45:40","14601962-ddc6-4e00-9524-8c332753ee96",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.form-btn"
"b255c203665a42cda9da42475db5a403","52ab143d574340f68819ac1b90da14ff","測試",,"20200919111451039",,"19/9/2020 03:14:51","22736bf4-f2d5-4081-9fb4-ca43d6235f56",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","test"
"b356928f98874e7487ade5684b7e8d8a","900254629b324f41bcdaef260c4f0b3d","#",,"181225144008380",,"25/12/2018 14:39:37","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.user-about"
"b4b472453b9c48839a12db4397804ca0","4d3b9a571253460293da1f18f917e6cd","站內資訊",,"181225145933830",,"25/12/2018 14:59:34","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.topnav-news-title"
"b4c51e85d6f140578cd72e0c6954bd80","f9cfa343a4a44008b2a458fb9a37fb34","#",,"181225144343387",,"25/12/2018 14:43:43","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.tabs-closeOther"
"b6ad2973c0a1442885f5c65f24e8fbef","4d3b9a571253460293da1f18f917e6cd","#",,"181225145933830",,"25/12/2018 14:59:34","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.topnav-news-title"
"b7a2db00fa8f48c1b31272caf58fc787","ac436a090a644050903050204e8b98b6","#",,"181225150238687",,"25/12/2018 15:02:39","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.topnav-im-search"
"b97e199fdd954f5eae9a0cfeeae2cd50","c72ac6114ddb4e18b25b7dd5969dc854","軟體發展平臺 - 產品體驗",,"181225142624377",,"25/12/2018 14:26:24","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.title"
"ba0dafa0ab954795b0fc1819aa2de473","4555b485c5bc48a7a2ba4a4bc856a1a7","标签预览",,"181225144526000",,"25/12/2018 14:45:26","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.tabs-tabPreview"
"bb82116661b14e7d8aa5d05e0258be64","f7aecef41d424c7393db58e30fdd777d","蒐索",,"181225144704363",,"25/12/2018 14:47:04","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.topnav-search"
"bc0b7fa527ab432fbf0f0c454bc0214a","1ff0af200b81414bb79a1b5ee911b655","#",,"181224174223600",,"24/12/2018 17:42:24","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","en-US","login.logo-text"
"be80d985de704f38ba0ba43793e56d27","76bdfc0862ec46acae7a1bf6a8a5fed3","退出系統",,"181225144041067",,"25/12/2018 14:40:41","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.user-logout"
"bf2876f9584a499b8837bcdc48f98e7e","7f58aac7a50b41bfba5199fd40d9e7ba","登入 / Sign in",,"181224174547963",,"5/8/2020 13:49:38","00d9428a-25f5-4ceb-ab9b-1a3c71989bb4",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.form-title"
"bfebc34bf0ab4690afa977df2e50fc3d","d49d7e702270460ca5c02ef50caea54e","立即注册",,"181224175129220",,"24/12/2018 17:51:29","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.form-register"
"c3da2492d53c4bca9bbfcbcafbfb6681","2bcba863a2344c998a87ea21cf29bc5d","微信掃碼登入",,"181224174319843",,"24/12/2018 17:43:20","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","zh-TW","login.switch-code"
"c3edeb1f3c814dedb2d19fbf0233c3e8","0b80ccb43eb8415c8ba52b0abf4e4622","資訊",,"181225144818867",,"25/12/2018 14:48:19","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.topnav-news"
"c4c809cb0a6a4c5fb891e09c8f6af21c","39cfcd948a9040ae934056447aa5758a","@@",,"181224174349313",,"19/8/2020 16:42:15","admin",,,,,,"d4e29600b10e4ab9a688e2cbe702ab7d","riben","login.switch-com"
"c7d72340c67b4a8eb518e133f7475ed2","b656d5abd81348a9912e9e386dcb3384","#",,"181225150211920",,"25/12/2018 15:02:12","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.topnav-im-title"
"c93d3a0f0d3f4676a958112a5363c494","5488f75dd8e94d11adaf53431ad247e8","展開導航",,"181225143642823",,"25/12/2018 14:36:43","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-TW","home.toggle-right7"
"c97ee64521204aacabc00ce609fb7e0e","1820389aac1e4ff2b67cba51cfc60a47","#",,"181225143757127",,"25/12/2018 14:37:57","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","en-US","home.user-info"
"ca9aa1eaf9664f17b975fc99e39d52a6","900254629b324f41bcdaef260c4f0b3d","关于平台",,"181225144008380",,"25/12/2018 14:39:37","admin",,,,,,"63098e7544f14661b0c115d86ddcd8a3","zh-CN","home.user-about"
