"F_Id","F_ParentId","F_Type","F_FullName","F_EnCode","F_UrlAddress","F_IsButtonAuthorize","F_IsColumnAuthorize","F_IsDataAuthorize","F_PropertyJson","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId","F_LinkTarget","F_Category","F_Icon"
"aad12c217ea047e0814c631c4784f489","76975bee62074937b8e3ab76e53b0797","2","移动表单","generator.appForm","generator/appForm","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"16","1","18/8/2020 10:07:46","admin","21/1/2021 09:27:46","admin",,,,"_self","Web","icon-ym icon-ym-appForm"
"ada52a5b9e5f4297b423e958e6f8f5d2","7110175e27ce424ea1d3ee4da7a72009","2","我的日程","schedulemine","/pages/apply/apply/schedulemine/index","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"0","1","29/11/2020 14:19:44","admin","9/12/2020 08:42:49","3074194b-1d4d-432a-b2a8-1e07fa88d644",,,,"_self","App","icon-ym icon-ym-xingcheng"
"B32CD790-FDC8-47BD-A53C-6C1E690F999A","41FC1581-2A8A-48DA-A207-E1266C4A893F","2","百万数据","extend.bigData","extend/bigData","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}","大数据测试，批量创建","65","1","28/9/2017 15:50:45",,"21/1/2021 02:15:49","admin","0",,,"_self","Web","icon-ym icon-ym-bigDataExample"
"b3e60c5216c44c3bad8e148b11ef75e2","19057834dec24f3dba5d81d0c374abea","2","企业号用户","weChat.qyUser","weChat/qyUser","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"44","1","27/7/2018 17:10:30","admin","21/1/2021 02:00:55","admin",,,,"_self","Web","icon-ym icon-ym-qyUser"
"B6373926-3F55-495F-88D3-B47816F1C98E","41FC1581-2A8A-48DA-A207-E1266C4A893F","2","知识管理","extend.document","extend/document","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"71","1","28/9/2017 15:50:46",,"21/1/2021 02:16:36","admin","0",,,"_self","Web","icon-ym icon-ym-documentExample"
"b7bd4892751a496ba4f37df6346e6dfb","7d7b0683b1844fd1bf1697c9dfc3ebb3","2","普通表格","extend.tableDemo.commonTable","extend/tableDemo/commonTable","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"100","1","29/11/2020 14:19:44","admin","21/1/2021 02:22:33","admin",,,,"_self","Web","icon-ym icon-ym-tableExample1"
"b7c9307cdb0c49b7923787382d006061","7d7b0683b1844fd1bf1697c9dfc3ebb3","2","表格编辑","extend.tableDemo.redactTable","extend/tableDemo/redactTable","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"104","1","29/11/2020 14:19:44","admin","21/1/2021 02:31:35","admin",,,,"_self","Web","icon-ym icon-ym-tableExample1"
"b933a567a18a442e95bd56c546fa2d55","ef0a18227f5c44bf810e793ca91ed796","5","错行分组","cuoxing","DataReport/cuoxing","0","0","0","{""isTree"":0,""iconBackgroundColor"":"""",""moduleId"":""5204d086d36044eb946410190173f238""}",,"0","1","6/11/2020 09:11:14","admin","20/11/2020 06:39:34","admin",,,,"_self","Web","icon-ym icon-ym-reportExample1"
"bc8957e2c98b4bb682109d003780f2d4","7d7b0683b1844fd1bf1697c9dfc3ebb3","2","延伸扩展","extend.tableDemo.extension","extend/tableDemo/extension","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"108","1","29/11/2020 14:19:44","admin","21/1/2021 02:55:12","admin",,,,"_self","Web","icon-ym icon-ym-tableExample1"
"BFA48A1E-2957-4B67-B432-C409DCA4FD29","41FC1581-2A8A-48DA-A207-E1266C4A893F","2","邮件收发","extend.email","extend/email","1","1","1","{""iconBackgroundColor"":"""",""moduleId"":""""}",,"70","1","28/9/2017 15:50:45",,"21/1/2021 02:16:27","admin","0",,,"_self","Web","icon-ym icon-ym-emailExample"
