"F_Id","F_ItemType","F_ItemId","F_ObjectType","F_ObjectId","F_SortCode","F_CreatorTime","F_CreatorUserId"
"60b9c38a10b74ec38ff1cac656a5573a","button","7983eeda14cf4a0d9a7c67abfe500409","Role","1d59f0e85c8e411b8e83e75075778035","24","13/1/2021 13:55:48","admin"
"60c2c30667e94c9d9363fa1811e1d2ce","button","E7443869-AFAD-4597-9B12-CD182369DF3C","Role","1d59f0e85c8e411b8e83e75075778035","9","13/1/2021 13:55:48","admin"
"60f5dc21284f41e1b7cb1602b18a31df","column","564f7317aadb4a608bb45393f5498876","Role","d2b2418a2f664c61abf0053ff5d57783","721","20/1/2021 14:17:51","admin"
"6109ff01da6f427d979c8d0a2749cf0d","column","79919a3a67154695aa9871b55df94b34","Role","fed9a1995b0143d496ed36b7fbafbabb","58","13/1/2021 22:07:11","048657c1-ecb1-4e5d-aced-6126ceae779e"
"6121bf519de24bdcb3bd0376be277e6f","column","7234458129814e0c9c42bc89652b1fa0","Role","fed9a1995b0143d496ed36b7fbafbabb","49","13/1/2021 22:07:11","048657c1-ecb1-4e5d-aced-6126ceae779e"
"6143dc8cd474424d9ac66166ef53514c","column","76c786ca3ab74fc481986e5e86d090a4","Role","94e3a9bb0fce4547886972998fddba1c","649","15/1/2021 15:34:45","admin"
"618e3c23c6284a619cd5bd87174f097b","resource","B6373926-3F55-495F-88D3-B47816F1C98E","Role","d2b2418a2f664c61abf0053ff5d57783","812","20/1/2021 14:17:51","admin"
"619a0ce08f7b46b5a8ba6bf4a504c346","module","19057834dec24f3dba5d81d0c374abea","Role","d2b2418a2f664c61abf0053ff5d57783","340","20/1/2021 14:17:51","admin"
"61a078bcb4d74232a31572a16d1822bf","column","262bd5ec08324bb0be39c02ab165f719","Role","d2b2418a2f664c61abf0053ff5d57783","520","20/1/2021 14:17:51","admin"
"61a3e3c4bf58419fab6b1d98b9bccf8b","button","cb8e14ba266f4e32b59d0ea324c40de5","Role","fed9a1995b0143d496ed36b7fbafbabb","17","13/1/2021 22:07:11","048657c1-ecb1-4e5d-aced-6126ceae779e"
"61ad9e3715ec436c8f72254da75956c9","column","5a45f2ff9d0845b2b80bc11f7f7861cf","Role","94e3a9bb0fce4547886972998fddba1c","655","15/1/2021 15:34:45","admin"
"61adbc7071b84dcba04b8f97a3624e5c","button","8d441325ef13441f8f48421dc54b83e7","Role","d2b2418a2f664c61abf0053ff5d57783","119","20/1/2021 14:17:51","admin"
"61b8ad8c8f094f0bbd86b012dddba312","column","7df95a58beb24c24b7a225164430ff67","Role","d2b2418a2f664c61abf0053ff5d57783","565","20/1/2021 14:17:51","admin"
"61de60dbbc824ba4b6ab637eec871855","button","17d80f8ac9ff4cb5a8a9ca7caa43d2d6","Role","6c3f9f53e1824ed597d4a6349fadd869","26","4/11/2020 15:56:07","03d159a3-0f88-424c-a24f-02f63855fe4f"
"62019bf54457485dacf932b6b752e4b0","module","7234458129814e0c9c42bc89652b1fa0","Role","d2b2418a2f664c61abf0053ff5d57783","302","20/1/2021 14:17:51","admin"
"620bf2e0949444fbaeec2ee588cfd8f9","button","d575d269a7734d9aa305a4b3106dde10","Role","d2b2418a2f664c61abf0053ff5d57783","35","20/1/2021 14:17:51","admin"
"6280cc2e32e6485b8349b5a9891de0cb","button","698d6192107142c4888901b7a427a8ba","Role","d2b2418a2f664c61abf0053ff5d57783","257","20/1/2021 14:17:51","admin"
"62aa9f0b7cc849fe9f1c44ed19934108","button","4d2cb987fd9047d19e010cce01039fea","Role","94e3a9bb0fce4547886972998fddba1c","215","15/1/2021 15:34:45","admin"
"62d69ea033f54256886966cdb8abde41","column","4a5c649e86e548dfb2cc29335e250d7f","Role","d2b2418a2f664c61abf0053ff5d57783","600","20/1/2021 14:17:51","admin"
"6333bbecc55b468c94331250250d69b8","resource","0307f1a3b09041a18f7b893cbdef802e","Role","d2b2418a2f664c61abf0053ff5d57783","810","20/1/2021 14:17:51","admin"
"633d01336582424094b932c88de37a1f","button","f227dd52de2346f09bf0ac5d98fb6936","Role","6c3f9f53e1824ed597d4a6349fadd869","23","4/11/2020 15:56:07","03d159a3-0f88-424c-a24f-02f63855fe4f"
"63423521a4d743abbecd29c5b9bbd23f","button","f2a9bb228c254580bf00a342009875f2","Role","94e3a9bb0fce4547886972998fddba1c","40","15/1/2021 15:34:45","admin"
"635009896b2641e5a7adaa959d406582","module","f49c10a5a05e4844a16530486efd974b","Role","94e3a9bb0fce4547886972998fddba1c","397","15/1/2021 15:34:45","admin"
"6359244c93554f599e1f0bb9eaebdac6","button","b82c5e883802450894d187cf2b2130a2","Role","d2b2418a2f664c61abf0053ff5d57783","126","20/1/2021 14:17:51","admin"
"635fb1750a92470ba778e9bfdf1f3b27","column","22f478d92c054d52b7e9aee7a407125a","Role","94e3a9bb0fce4547886972998fddba1c","525","15/1/2021 15:34:45","admin"
"638cecf392e8413ea164dfd91705906c","module","968f981b95f24b3b9091243cb80e3510","Role","94e3a9bb0fce4547886972998fddba1c","375","15/1/2021 15:34:45","admin"
"63a02249fccb4823bb0fb712d53043d3","column","620b9d2144bf42cebaa8d3e8b5f7d2ca","Role","94e3a9bb0fce4547886972998fddba1c","498","15/1/2021 15:34:45","admin"
"63c85a3bb46045e0a50c8485836dc445","column","4ed75bbed84d4a398f067eabc04510d2","Role","d2b2418a2f664c61abf0053ff5d57783","516","20/1/2021 14:17:51","admin"
"63d473b0efbc4fdaa0ff52c8433d6751","column","c30988f98414446c84dbe729347c95f8","Role","d2b2418a2f664c61abf0053ff5d57783","466","20/1/2021 14:17:51","admin"
"63e6e8f8bf5b453586761efd385ff2c9","column","7fb3b921998b42a9b7b8688d9fa3198f","Role","94e3a9bb0fce4547886972998fddba1c","453","15/1/2021 15:34:45","admin"
"6400a9aaec134b24bdf4c88af0014777","column","61121a233ae948dab701377215e196b9","Role","94e3a9bb0fce4547886972998fddba1c","550","15/1/2021 15:34:45","admin"
"6410c39c55704452816e8537920f368b","column","edc1eb926d6848bfa6d8357dc37f1a92","Role","94e3a9bb0fce4547886972998fddba1c","740","15/1/2021 15:34:45","admin"
"6436de029abb460db60b82fe5177a4c6","column","acea3f3f1c7d48669ef8235ffcbbaab0","Role","d2b2418a2f664c61abf0053ff5d57783","674","20/1/2021 14:17:51","admin"
"643c3a5f8d96402fb3b50f611b6cfc43","button","8f6ceb6c0a384ecf8a200b15a6d2d9c0","Role","94e3a9bb0fce4547886972998fddba1c","125","15/1/2021 15:34:45","admin"
"645364d2102c42b99ba47befd0aa4c98","column","2c2b322ce310493399e65c2450674f7e","Role","94e3a9bb0fce4547886972998fddba1c","747","15/1/2021 15:34:45","admin"
"6457d9cbf9ca445093fd512f5a54365f","column","e089d3b68a00474f81a1fdab711e3b59","Role","94e3a9bb0fce4547886972998fddba1c","683","15/1/2021 15:34:45","admin"
"6462375286b64fc38524a418d642d893","column","76c786ca3ab74fc481986e5e86d090a4","Role","d2b2418a2f664c61abf0053ff5d57783","458","20/1/2021 14:17:51","admin"
"6466e4d43f4e4e57ac3554781166e87a","column","5b79ecb607aa41a1854abe225a8cc7a6","Role","d2b2418a2f664c61abf0053ff5d57783","445","20/1/2021 14:17:51","admin"
"6474b82773ef43a4b23b08d09fd71ed1","resource","6de2f14ac37d46e9baa67d0ad4c3bbb1","Role","d2b2418a2f664c61abf0053ff5d57783","816","20/1/2021 14:17:51","admin"
